year,url,file,local_file_date
2007,https://comtrade.un.org/api/get/bulk/C/A/2007/ALL/H3?token=REPLACE_TOKEN,01-raw-data/hs-rev2007/type-C_r-ALL_ps-2007_freq-A_px-H3_pub-20171212_fmt-csv_ex-20171229.zip,2017-12-12
2008,https://comtrade.un.org/api/get/bulk/C/A/2008/ALL/H3?token=REPLACE_TOKEN,01-raw-data/hs-rev2007/type-C_r-ALL_ps-2008_freq-A_px-H3_pub-20180724_fmt-csv_ex-20180726.zip,2018-07-24
2009,https://comtrade.un.org/api/get/bulk/C/A/2009/ALL/H3?token=REPLACE_TOKEN,01-raw-data/hs-rev2007/type-C_r-ALL_ps-2009_freq-A_px-H3_pub-20180718_fmt-csv_ex-20180726.zip,2018-07-18
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/H3?token=REPLACE_TOKEN,01-raw-data/hs-rev2007/type-C_r-ALL_ps-2010_freq-A_px-H3_pub-20180712_fmt-csv_ex-20180726.zip,2018-07-12
2011,https://comtrade.un.org/api/get/bulk/C/A/2011/ALL/H3?token=REPLACE_TOKEN,01-raw-data/hs-rev2007/type-C_r-ALL_ps-2011_freq-A_px-H3_pub-20180605_fmt-csv_ex-20180611.zip,2018-06-05
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/H3?token=REPLACE_TOKEN,01-raw-data/hs-rev2007/type-C_r-ALL_ps-2012_freq-A_px-H3_pub-20180605_fmt-csv_ex-20180611.zip,2018-06-05
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/H3?token=REPLACE_TOKEN,01-raw-data/hs-rev2007/type-C_r-ALL_ps-2013_freq-A_px-H3_pub-20180605_fmt-csv_ex-20180611.zip,2018-06-05
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/H3?token=REPLACE_TOKEN,01-raw-data/hs-rev2007/type-C_r-ALL_ps-2014_freq-A_px-H3_pub-20180525_fmt-csv_ex-20180526.zip,2018-05-25
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/H3?token=REPLACE_TOKEN,01-raw-data/hs-rev2007/type-C_r-ALL_ps-2015_freq-A_px-H3_pub-20180525_fmt-csv_ex-20180526.zip,2018-05-25
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/H3?token=REPLACE_TOKEN,01-raw-data/hs-rev2007/type-C_r-ALL_ps-2016_freq-A_px-H3_pub-20180612_fmt-csv_ex-20180705.zip,2018-06-12
